Ville,Nombre de Salons,Population,Habitants par Salon
parentis-en-born,3,6442,2147.0
ciboure,1,6430,6430.0
commentry,2,6427,3214.0
doullens,1,6412,6412.0
entrelacs,1,6399,6399.0
cognin,1,6381,6381.0
revin,1,6379,6379.0
la montagne,1,6379,6379.0
mesnils-sur-iton,2,6374,3187.0
pavilly,1,6364,6364.0
corbie,1,6363,6363.0
montdidier,2,6359,3180.0
bon-encontre,2,6346,3173.0
mer,2,6346,3173.0
thyez,1,6346,6346.0
marsillargues,1,6324,6324.0
vendargues,1,6315,6315.0
terrasson-lavilledieu,1,6308,6308.0
lavelanet,1,6305,6305.0
gignac,1,6303,6303.0
puilboreau,2,6299,3150.0
hersin-coupigny,1,6287,6287.0
blanzy,1,6286,6286.0
castries,1,6280,6280.0
loon-plage,2,6269,3134.0
gouesnou,1,6246,6246.0
lezoux,1,6225,6225.0
saint-marcel,1,6222,6222.0
thoiry,1,6215,6215.0
saint-alban-leysse,1,6213,6213.0
vexin-sur-epte,2,6202,3101.0
saint-genest-lerpt,1,6201,6201.0
algrange,3,6200,2067.0
aurec-sur-loire,1,6194,6194.0
sains-en-gohelle,1,6183,6183.0
gournay-en-bray,2,6169,3084.0
vigneux-de-bretagne,1,6157,6157.0
pierrefeu-du-var,4,6149,1537.0
saint-arnoult-en-yvelines,1,6139,6139.0
vaison-la-romaine,1,6137,6137.0
elven,2,6137,3068.0
mallemort,1,6132,6132.0
gond-pontouvre,1,6124,6124.0
nandy,1,6107,6107.0
nogent-sur-seine,2,6097,3048.0
montauban-de-bretagne,2,6082,3041.0
combourg,1,6075,6075.0
maule,2,6075,3038.0
mutzig,1,6061,6061.0
fontenilles,1,6059,6059.0
le lavandou,1,6047,6047.0
saint-martin-lez-tatinghem,1,6042,6042.0
bois-le-roi,1,6025,6025.0
plescop,1,6022,6022.0
palavas-les-flots,1,6020,6020.0
douvaine,1,6019,6019.0
noyelles-godault,1,6007,6007.0
coursan,1,6001,6001.0
lannemezan,1,5996,5996.0
villemur-sur-tarn,1,5993,5993.0
sathonay-camp,1,5993,5993.0
trans-en-provence,2,5983,2992.0
jonage,1,5978,5978.0
noves,2,5966,2983.0
dol-de-bretagne,1,5958,5958.0
annezin,1,5944,5944.0
saint-mandrier-sur-mer,1,5931,5931.0
dourges,3,5931,1977.0
saint-jorioz,1,5927,5927.0
saulx-les-chartreux,1,5927,5927.0
gray,1,5916,5916.0
nieul-sur-mer,1,5903,5903.0
tournus,1,5885,5885.0
fayence,1,5881,5881.0
izon,1,5875,5875.0
altkirch,1,5870,5870.0
saint-galmier,2,5864,2932.0
challes-les-eaux,1,5864,5864.0
saint-jory,2,5857,2928.0
pluneret,1,5855,5855.0
benfeld,1,5849,5849.0
roye,4,5848,1462.0
bellevigne-en-layon,1,5843,5843.0
calvisson,1,5842,5842.0
lucciana,1,5829,5829.0
erdre-en-anjou,3,5829,1943.0
menucourt,1,5824,5824.0
carbonne,1,5816,5816.0
chevreuse,1,5810,5810.0
plouay,1,5797,5797.0
santes,1,5778,5778.0
rabastens,2,5764,2882.0
riantec,1,5761,5761.0
aubignan,1,5752,5752.0
briec,1,5742,5742.0
bons-en-chablais,2,5736,2868.0
dives-sur-mer,1,5732,5732.0
beaurains,1,5729,5729.0
mirecourt,1,5728,5728.0
wormhout,1,5718,5718.0
magny-en-vexin,2,5715,2858.0
merville,1,5710,5710.0
lannilis,1,5706,5706.0
saint-gervais-les-bains,3,5702,1901.0
montbonnot-saint-martin,1,5692,5692.0
valdahon,1,5692,5692.0
simiane-collongue,1,5687,5687.0
chessy,1,5683,5683.0
saint-zacharie,2,5682,2841.0
saint-martin-la-pallu,1,5642,5642.0
marnaz,1,5637,5637.0
sainghin-en-weppes,1,5637,5637.0
port-la-nouvelle,2,5636,2818.0
sausheim,1,5622,5622.0
dompierre-sur-mer,1,5621,5621.0
chagny,2,5616,2808.0
gan,1,5615,5615.0
saint-martin-de-seignanx,1,5613,5613.0
heillecourt,1,5611,5611.0
marles-les-mines,1,5608,5608.0
saint-astier,1,5590,5590.0
saint-memmie,2,5589,2794.0
le port-marly,1,5589,5589.0
le barp,1,5587,5587.0
clapiers,1,5579,5579.0
nuits-saint-georges,1,5577,5577.0
genay,1,5574,5574.0
sigean,1,5571,5571.0
wallers,1,5565,5565.0
la ville-aux-dames,2,5562,2781.0
mouroux,1,5549,5549.0
grand-champ,1,5535,5535.0
souppes-sur-loing,1,5498,5498.0
calonne-ricouart,1,5487,5487.0
plouhinec,1,5479,5479.0
saint-georges-de-didonne,1,5471,5471.0
audruicq,5,5465,1093.0
loison-sous-lens,1,5457,5457.0
chazelles-sur-lyon,2,5454,2727.0
douvrin,2,5449,2724.0
la souterraine,2,5448,2724.0
sully-sur-loire,1,5439,5439.0
faulquemont,2,5394,2697.0
longuyon,2,5381,2690.0
valence,3,5377,1792.0
sillingy,1,5371,5371.0
mouy,1,5363,5363.0
penmarch,1,5361,5361.0
gauchy,3,5360,1787.0
piolenc,1,5357,5357.0
saint-privat-des-vieux,1,5309,5309.0
briare,1,5303,5303.0
mulsanne,2,5301,2650.0
montbard,1,5282,5282.0
salbris,1,5268,5268.0
rosheim,1,5258,5258.0
mouguerre,1,5248,5248.0
morcenx-la-nouvelle,3,5230,1743.0
condat-sur-vienne,1,5229,5229.0
vindry-sur-turdine,1,5226,5226.0
lambres-lez-douai,1,5226,5226.0
baume-les-dames,1,5226,5226.0
bauvin,2,5223,2612.0
sainte-marie-aux-mines,1,5220,5220.0
fenouillet,1,5219,5219.0
vittel,1,5216,5216.0
cancale,1,5211,5211.0
grans,1,5200,5200.0
la balme-de-sillingy,1,5199,5199.0
saint-germain-du-puy,1,5199,5199.0
drusenheim,1,5196,5196.0
bogny-sur-meuse,2,5174,2587.0
marquise,3,5148,1716.0
bessan,1,5141,5141.0
argenton-sur-creuse,2,5140,2570.0
muzillac,1,5139,5139.0
blendecques,2,5135,2568.0
yffiniac,1,5117,5117.0
florensac,1,5099,5099.0
cluny,2,5098,2549.0
tourves,1,5097,5097.0
conches-en-ouche,2,5095,2548.0
saint-michel-chef-chef,4,5078,1270.0
beaucourt,2,5070,2535.0
saint-gilles,2,5066,2533.0
le quesnoy,2,5065,2532.0
gruissan,2,5063,2532.0
saint-sever,3,5053,1684.0
vernaison,3,5052,1684.0
plateau d'hauteville,1,5031,5031.0
desvres,1,5024,5024.0
pulnoy,2,5021,2510.0
seichamps,1,5013,5013.0
beaurepaire,1,5003,5003.0
bourbon-lancy,3,5000,1667.0
habsheim,1,4991,4991.0
le trait,2,4987,2494.0
phalsbourg,1,4986,4986.0
lacanau,1,4985,4985.0
fleury-sur-orne,1,4985,4985.0
caumont-sur-durance,1,4984,4984.0
villeneuve-en-retz,3,4982,1661.0
le bourget-du-lac,1,4964,4964.0
marvejols,1,4963,4963.0
val d'erdre-auxence,2,4952,2476.0
sangatte,1,4946,4946.0
pauillac,1,4945,4945.0
graveson,1,4944,4944.0
maen roch,1,4944,4944.0
pompey,1,4938,4938.0
villenoy,1,4935,4935.0
guise,1,4929,4929.0
fumel,1,4926,4926.0
haillicourt,1,4923,4923.0
herrlisheim,1,4912,4912.0
saint-paul-en-jarez,1,4904,4904.0
saint-marcellin-en-forez,1,4898,4898.0
barbezieux-saint-hilaire,3,4895,1632.0
bousbecque,1,4877,4877.0
le versoud,1,4874,4874.0
rognes,1,4862,4862.0
mormant,2,4856,2428.0
barberaz,1,4843,4843.0
banyuls-sur-mer,1,4838,4838.0
montigny-en-ostrevent,1,4838,4838.0
sainte-marie-la-mer,1,4834,4834.0
billom,1,4825,4825.0
montville,1,4814,4814.0
baisieux,1,4813,4813.0
heyrieux,1,4795,4795.0
lamotte-beuvron,1,4788,4788.0
saint-nicolas,2,4788,2394.0
lisle-sur-tarn,1,4778,4778.0
dagneux,1,4772,4772.0
laigneville,1,4772,4772.0
phalempin,1,4769,4769.0
auchy-les-mines,1,4765,4765.0
valleiry,1,4757,4757.0
mignaloux-beauvoir,1,4751,4751.0
bretignolles-sur-mer,1,4750,4750.0
verneuil-en-halatte,1,4747,4747.0
bouloc,1,4743,4743.0
saint-martin-des-champs,1,4738,4738.0
les monts d'aunay,2,4734,2367.0
lorette,1,4732,4732.0
vitry-en-artois,1,4726,4726.0
langeais,2,4718,2359.0
nozay,1,4715,4715.0
guesnain,1,4713,4713.0
ham,2,4708,2354.0
saint-jean-de-bournay,1,4699,4699.0
nivillac,1,4696,4696.0
munster,2,4688,2344.0
craon,1,4685,4685.0
friville-escarbotin,1,4672,4672.0
camaret-sur-aigues,1,4655,4655.0
avesnes-sur-helpe,1,4642,4642.0
samer,1,4639,4639.0
thourotte,1,4632,4632.0
selles-sur-cher,1,4631,4631.0
les garennes sur loire,1,4629,4629.0
saint-marcel,1,4629,4629.0
sainte-soulle,1,4623,4623.0
luzarches,2,4620,2310.0
kaysersberg vignoble,1,4618,4618.0
robion,1,4603,4603.0
grimaud,1,4601,4601.0
soucieu-en-jarrest,1,4598,4598.0
valence-en-poitou,1,4591,4591.0
villefranche-de-lauragais,3,4580,1527.0
saint-pierre-de-chandieu,1,4578,4578.0
morestel,1,4568,4568.0
iffendic,2,4561,2280.0
marans,1,4561,4561.0
mimet,1,4560,4560.0
aime-la-plagne,2,4554,2277.0
breteuil,2,4544,2272.0
jarnac,1,4536,4536.0
cours,4,4529,1132.0
leuville-sur-orge,1,4528,4528.0
bray-dunes,2,4527,2264.0
la turballe,1,4523,4523.0
noues de sienne,1,4523,4523.0
surzur,1,4520,4520.0
ornans,2,4517,2258.0
cabannes,2,4500,2250.0
maraussan,1,4496,4496.0
semur-en-auxois,1,4492,4492.0
vouziers,1,4489,4489.0
niederbronn-les-bains,1,4488,4488.0
auberchicourt,2,4480,2240.0
ardres,1,4475,4475.0
hallennes-lez-haubourdin,1,4471,4471.0
is-sur-tille,1,4458,4458.0
poligny,1,4454,4454.0
breteuil,2,4454,2227.0
morigny-champigny,1,4452,4452.0
villard-de-lans,2,4434,2217.0
bas-en-basset,1,4432,4432.0
pons,1,4431,4431.0
brionne,1,4430,4430.0
torigny-les-villes,2,4408,2204.0
flayosc,2,4396,2198.0
le val,1,4391,4391.0
gonfaron,1,4380,4380.0
jouarre,1,4379,4379.0
le pouliguen,1,4376,4376.0
le neubourg,1,4375,4375.0
maintenon,1,4371,4371.0
clarensac,1,4361,4361.0
leffrinckoucke,1,4358,4358.0
sainte-anne,1,4356,4356.0
la plaine-sur-mer,1,4351,4351.0
cheval-blanc,1,4351,4351.0
athis-val de rouvre,1,4343,4343.0
chaponnay,1,4338,4338.0
rives de l'yon,1,4335,4335.0
nanteuil-le-haudouin,2,4334,2167.0
barbentane,1,4332,4332.0
vinay,1,4324,4324.0
vinon-sur-verdon,1,4321,4321.0
brives-charensac,3,4320,1440.0
soullans,1,4312,4312.0
aramon,1,4311,4311.0
saint-nabord,1,4297,4297.0
fourchambault,1,4287,4287.0
plougonvelin,2,4273,2136.0
saint-just-malmont,1,4270,4270.0
valras-plage,1,4265,4265.0
provin,2,4263,2132.0
pont-de-roide-vermondans,1,4260,4260.0
terres-de-caux,1,4252,4252.0
macau,1,4249,4249.0
pignans,1,4246,4246.0
duclair,2,4245,2122.0
prigonrieux,1,4235,4235.0
sainte-menehould,1,4234,4234.0
saint-jeannet,1,4234,4234.0
valgelon-la rochette,1,4215,4215.0
marckolsheim,1,4215,4215.0
allevard,1,4210,4210.0
plumergat,1,4205,4205.0
port-vendres,1,4204,4204.0
offemont,1,4204,4204.0
bapaume,1,4202,4202.0
ormes,1,4200,4200.0
nozay,1,4195,4195.0
bresles,1,4191,4191.0
ligny-en-barrois,1,4190,4190.0
saint-mihiel,1,4187,4187.0
saint-pierre,8,4178,522.0
rousson,1,4177,4177.0
redessan,1,4172,4172.0
saint-romain-de-colbosc,1,4172,4172.0
grisolles,1,4169,4169.0
saint-valery-en-caux,2,4167,2084.0
saint-savin,2,4156,2078.0
nogent-le-roi,2,4151,2076.0
le croisic,1,4147,4147.0
la tour-de-salvagny,1,4146,4146.0
la norville,1,4139,4139.0
la haye,1,4124,4124.0
biache-saint-vaast,1,4115,4115.0
truchtersheim,1,4110,4110.0
caissargues,1,4105,4105.0
ingwiller,1,4101,4101.0
chavagne,1,4093,4093.0
plouhinec,1,4093,4093.0
anneyron,2,4091,2046.0
benet,1,4086,4086.0
aulnat,2,4085,2042.0
bollwiller,3,4082,1361.0
fouras,3,4082,1361.0
le houlme,1,4079,4079.0
tourrettes-sur-loup,1,4078,4078.0
trouy,1,4075,4075.0
montreuil-bellay,1,4071,4071.0
rousies,1,4071,4071.0
saint-vallier,2,4067,2034.0
campbon,2,4067,2034.0
folschviller,1,4065,4065.0
raimbeaucourt,1,4058,4058.0
saint-romain-le-puy,1,4058,4058.0
la gacilly,1,4055,4055.0
terranjou,1,4050,4050.0
saint-hippolyte-du-fort,1,4043,4043.0
angoulins,2,4039,2020.0
vagney,1,4035,4035.0
bouzonville,2,4027,2014.0
hochfelden,1,4025,4025.0
gravigny,1,4021,4021.0
tavaux,1,4012,4012.0
allassac,1,4006,4006.0
erquy,1,4004,4004.0
saint-aubin-du-cormier,1,3998,3998.0
bourg-achard,2,3996,1998.0
eauze,1,3992,3992.0
allaire,1,3979,3979.0
condrieu,1,3977,3977.0
genilac,1,3971,3971.0
beauvoir-sur-mer,1,3964,3964.0
suippes,1,3960,3960.0
presles,1,3956,3956.0
ardentes,2,3945,1972.0
mozac,1,3942,3942.0
beaumont-de-lomagne,2,3933,1966.0
fougerolles-saint-valbert,1,3931,3931.0
thumeries,1,3931,3931.0
le castellet,1,3927,3927.0
forges-les-bains,1,3926,3926.0
fontaine-le-comte,1,3926,3926.0
toufflers,1,3924,3924.0
saint-fulgent,1,3923,3923.0
dun-sur-auron,1,3921,3921.0
clamecy,1,3920,3920.0
bretteville-sur-odon,1,3913,3913.0
sospel,3,3901,1300.0
la croix-valmer,4,3901,975.0
verberie,1,3900,3900.0
saint-nolff,2,3899,1950.0
bartenheim,1,3889,3889.0
fleury,1,3888,3888.0
saint-mard,1,3885,3885.0
montferrier-sur-lez,1,3881,3881.0
le may-sur-èvre,1,3875,3875.0
grand bourgtheroulde,1,3874,3874.0
vaux-sur-mer,1,3873,3873.0
peyrehorade,1,3870,3870.0
oudon,1,3870,3870.0
givry,1,3860,3860.0
bellignat,1,3859,3859.0
arnas,1,3856,3856.0
boos,1,3855,3855.0
turckheim,1,3855,3855.0
mauriac,1,3844,3844.0
loperhet,1,3842,3842.0
saint-martin-la-plaine,3,3829,1276.0
la chaize-le-vicomte,1,3828,3828.0
rochechouart,1,3827,3827.0
boissise-le-roi,1,3816,3816.0
coudoux,1,3816,3816.0
nogent,1,3815,3815.0
meurchin,1,3810,3810.0
bressols,1,3801,3801.0
plouarzel,1,3785,3785.0
gallargues-le-montueux,1,3783,3783.0
chauffailles,2,3777,1888.0
saint-symphorien-sur-coise,1,3776,3776.0
charlieu,3,3772,1257.0
le pont-de-beauvoisin,1,3771,3771.0
pujols,1,3770,3770.0
groisy,1,3769,3769.0
limonest,1,3765,3765.0
servon-sur-vilaine,1,3761,3761.0
richwiller,1,3750,3750.0
argences,1,3748,3748.0
langeac,1,3742,3742.0
gallardon,1,3727,3727.0
villieu-loyes-mollon,1,3717,3717.0
saint-germain-laprade,1,3716,3716.0
lumbres,1,3701,3701.0
vrigne aux bois,2,3701,1850.0
pleslin-trigavou,1,3701,3701.0
bavans,2,3700,1850.0
neuilly-en-thelle,1,3697,3697.0
violaines,1,3697,3697.0
isigny-sur-mer,2,3684,1842.0
fontvieille,1,3682,3682.0
avesnes-les-aubert,1,3674,3674.0
fay-de-bretagne,1,3674,3674.0
soorts-hossegor,1,3670,3670.0
le thuit de l'oison,1,3670,3670.0
verson,1,3668,3668.0
deauville,1,3665,3665.0
breteil,1,3660,3660.0
bosroumois,2,3655,1828.0
neuvic,1,3655,3655.0
petit-mars,1,3653,3653.0
montmirail,1,3648,3648.0
chavagnes-en-paillers,1,3638,3638.0
varennes-sur-allier,1,3633,3633.0
les belleville,1,3611,3611.0
bains-sur-oust,2,3609,1804.0
rupt-sur-moselle,1,3592,3592.0
landrecies,1,3590,3590.0
azay-le-rideau,1,3589,3589.0
bourcefranc-le-chapus,1,3573,3573.0
ruffec,1,3571,3571.0
sainte-catherine,1,3567,3567.0
vic-fezensac,1,3558,3558.0
aubusson,2,3551,1776.0
villaz,1,3551,3551.0
canet,1,3548,3548.0
arbois,2,3544,1772.0
marines,1,3543,3543.0
fumay,1,3541,3541.0
salindres,1,3535,3535.0
les lucs-sur-boulogne,1,3534,3534.0
varennes-sur-seine,1,3532,3532.0
plouescat,1,3528,3528.0
nay,1,3524,3524.0
prinquiau,1,3524,3524.0
taninges,1,3517,3517.0
montsoult,1,3516,3516.0
malville,1,3515,3515.0
villeneuve-la-guyard,2,3513,1756.0
la rochette,1,3510,3510.0
la roche-blanche,1,3489,3489.0
carling,3,3488,1163.0
roscoff,1,3488,3488.0
artix,1,3488,3488.0
locoal-mendon,1,3481,3481.0
saint-michel,2,3475,1738.0
gerstheim,1,3472,3472.0
colomars,1,3465,3465.0
messimy,1,3465,3465.0
saint-didier-en-velay,1,3454,3454.0
brou,1,3440,3440.0
boujan-sur-libron,1,3433,3433.0
saint-calais,1,3431,3431.0
crach,1,3431,3431.0
brassac-les-mines,1,3430,3430.0
vimoutiers,1,3428,3428.0
elliant,1,3412,3412.0
saint-julien-les-rosiers,1,3410,3410.0
sauvagnon,1,3409,3409.0
rostrenen,1,3405,3405.0
isigny-le-buat,1,3402,3402.0
apprieu,1,3401,3401.0
magalas,1,3400,3400.0
saint-jeoire,1,3397,3397.0
wizernes,1,3397,3397.0
mertzwiller,2,3395,1698.0
pont-sur-yonne,1,3395,3395.0
saint-cast-le-guildo,2,3392,1696.0
weyersheim,1,3392,3392.0
bischoffsheim,3,3388,1129.0
aigues-vives,1,3385,3385.0
illiers-combray,1,3385,3385.0
genech,1,3342,3342.0
lampertheim,1,3333,3333.0
bourg-des-comptes,1,3332,3332.0
coubon,1,3331,3331.0
sarrola-carcopino,1,3329,3329.0
saint-romain-de-jalionas,3,3329,1110.0
airvault,1,3328,3328.0
picauville,1,3317,3317.0
chaumontel,1,3316,3316.0
chasseneuil-sur-bonnieure,3,3315,1105.0
les pieux,1,3312,3312.0
saint-georges-des-groseillers,1,3311,3311.0
tartas,2,3304,1652.0
amfreville-la-mi-voie,1,3302,3302.0
saint-just,1,3298,3298.0
dieulefit,1,3297,3297.0
montendre,3,3297,1099.0
treize-septiers,1,3290,3290.0
villelongue-de-la-salanque,1,3289,3289.0
saint-ouen,2,3283,1642.0
attignat,1,3275,3275.0
andeville,1,3272,3272.0
exincourt,1,3272,3272.0
cornimont,1,3270,3270.0
la tessoualle,3,3269,1090.0
la boisse,2,3267,1634.0
anor,2,3267,1634.0
callian,1,3266,3266.0
saint-michel,2,3266,1633.0
saint-sulpice-de-royan,1,3264,3264.0
valensole,1,3263,3263.0
sainte-bazeille,1,3262,3262.0
knutange,1,3261,3261.0
voujeaucourt,1,3259,3259.0
quissac,1,3251,3251.0
renaison,1,3249,3249.0
saint-nicolas-de-redon,1,3247,3247.0
les fins,1,3247,3247.0
saint-savin,2,3245,1622.0
arleux,1,3244,3244.0
arcangues,1,3240,3240.0
proville,1,3238,3238.0
modane,2,3235,1618.0
druelle balsac,2,3234,1617.0
le porge,2,3232,1616.0
la chapelle-en-serval,1,3225,3225.0
saint-yvi,1,3223,3223.0
charolles,2,3220,1610.0
appoigny,1,3219,3219.0
thierville-sur-meuse,1,3215,3215.0
mortain-bocage,1,3208,3208.0
magnac-sur-touvre,1,3207,3207.0
rue,2,3204,1602.0
castillon-la-bataille,1,3202,3202.0
lapalisse,2,3201,1600.0
saint-ambroix,2,3201,1600.0
afa,1,3198,3198.0
emmerin,1,3195,3195.0
portiragnes,1,3194,3194.0
meschers-sur-gironde,1,3174,3174.0
bonifacio,2,3173,1586.0
berlaimont,1,3166,3166.0
merdrignac,1,3165,3165.0
nontron,1,3160,3160.0
lailly-en-val,1,3157,3157.0
lansargues,2,3155,1578.0
buchelay,1,3154,3154.0
la sentinelle,2,3152,1576.0
saint-erblon,1,3147,3147.0
mauron,1,3145,3145.0
villers-bocage,2,3143,1572.0
tence,1,3143,3143.0
pers-jussy,1,3142,3142.0
neuvecelle,1,3140,3140.0
gasny,2,3139,1570.0
dieuze,1,3137,3137.0
marsilly,1,3133,3133.0
senonches,1,3132,3132.0
lavernose-lacasse,1,3127,3127.0
sancoins,1,3124,3124.0
saint-hilaire-saint-mesmin,1,3123,3123.0
saint-quentin-la-poterie,1,3117,3117.0
thurins,1,3112,3112.0
doubs,1,3110,3110.0
le cheylard,1,3108,3108.0
saint-laurent-des-arbres,1,3108,3108.0
cany-barville,1,3105,3105.0
dompierre-sur-besbre,1,3097,3097.0
la chapelle-launay,1,3094,3094.0
camors,1,3091,3091.0
gargas,1,3087,3087.0
allonnes,1,3084,3084.0
gimont,2,3082,1541.0
culoz,1,3082,3082.0
saint-hippolyte,1,3081,3081.0
rodilhan,1,3075,3075.0
basse-pointe,1,3071,3071.0
montlignon,1,3068,3068.0
galgon,1,3065,3065.0
saint-selve,1,3063,3063.0
longny les villages,1,3059,3059.0
chorges,1,3053,3053.0
saint-maximin,1,3049,3049.0
sainte-croix-en-plaine,1,3043,3043.0
boutigny-sur-essonne,1,3039,3039.0
quintin,1,3038,3038.0
ibos,1,3032,3032.0
wassy,2,3031,1516.0
rion-des-landes,1,3029,3029.0
soubise,1,3027,3027.0
rouillac,1,3026,3026.0
les houches,1,3020,3020.0
barjols,3,3020,1007.0
seiches-sur-le-loir,1,3020,3020.0
sainte-anne-sur-brivet,2,3019,1510.0
fresnay-sur-sarthe,3,3015,1005.0
velleron,1,3013,3013.0
yenne,1,3012,3012.0
montbazin,1,3012,3012.0
montmeyran,1,3011,3011.0
beauzac,1,3001,3001.0
tosse,2,3001,1500.0
ailly-sur-somme,2,2993,1496.0
rouans,1,2993,2993.0
retournac,1,2988,2988.0
montberon,2,2987,1494.0
pleudihen-sur-rance,1,2986,2986.0
batz-sur-mer,1,2981,2981.0
bourg-argental,1,2979,2979.0
dormans,1,2976,2976.0
breuillet,2,2975,1488.0
la tranche-sur-mer,1,2969,2969.0
crouy,1,2952,2952.0
arcis-sur-aube,1,2950,2950.0
meslay-du-maine,2,2945,1472.0
pringy,1,2943,2943.0
spay,1,2938,2938.0
mareuil-sur-lay-dissais,1,2938,2938.0
chavanay,1,2935,2935.0
saint-jean-en-royans,2,2935,1468.0
tourrettes,1,2935,2935.0
wignehies,1,2934,2934.0
saint-jean-de-liversay,1,2932,2932.0
aoste,1,2932,2932.0
mouchamps,2,2930,1465.0
bordes,2,2924,1462.0
saint-aignan,1,2924,2924.0
venarey-les-laumes,1,2921,2921.0
fraize,1,2918,2918.0
sains-du-nord,1,2918,2918.0
courville-sur-eure,2,2911,1456.0
gries,1,2906,2906.0
beaumont,2,2905,1452.0
saint-baldoph,1,2902,2902.0
montblanc,1,2899,2899.0
polignac,1,2899,2899.0
la motte,1,2896,2896.0
burbure,2,2895,1448.0
donnery,1,2893,2893.0
coupvray,1,2892,2892.0
goderville,1,2891,2891.0
mouzillon,1,2882,2882.0
donnemarie-dontilly,1,2880,2880.0
saint-georges-sur-eure,1,2870,2870.0
roiffieux,1,2870,2870.0
crevin,1,2867,2867.0
sarre-union,1,2867,2867.0
saint-germain-laval,2,2863,1432.0
rozay-en-brie,1,2862,2862.0
pont-aven,1,2859,2859.0
mers-les-bains,1,2858,2858.0
angles,2,2852,1426.0
bignan,1,2852,2852.0
smarves,1,2851,2851.0
villaines-la-juhel,1,2851,2851.0
chasselay,1,2849,2849.0
valencin,2,2847,1424.0
ambronay,1,2841,2841.0
pierres,1,2839,2839.0
la couture,1,2836,2836.0
houppeville,1,2830,2830.0
cauchy-à-la-tour,1,2829,2829.0
anzin-saint-aubin,1,2828,2828.0
confolens,1,2825,2825.0
ancerville,1,2816,2816.0
chavanod,1,2810,2810.0
sussargues,1,2806,2806.0
toucy,1,2802,2802.0
barcelonnette,1,2800,2800.0
vieux-charmont,1,2798,2798.0
saint-martin-du-tertre,1,2791,2791.0
civray,3,2788,929.0
laruscade,1,2785,2785.0
val d'oust,1,2780,2780.0
montigny-sur-loing,1,2777,2777.0
lans-en-vercors,1,2776,2776.0
damparis,1,2774,2774.0
grandparigny,1,2770,2770.0
haspres,2,2762,1381.0
camiers,1,2760,2760.0
ivry-la-bataille,1,2753,2753.0
villenauxe-la-grande,1,2752,2752.0
maisse,1,2751,2751.0
la broque,1,2750,2750.0
vernou-sur-brenne,1,2748,2748.0
montayral,1,2746,2746.0
cosnes-et-romain,2,2745,1372.0
salins-les-bains,1,2736,2736.0
charleval,1,2736,2736.0
bernes-sur-oise,1,2735,2735.0
portets,1,2735,2735.0
criel-sur-mer,1,2734,2734.0
les vans,1,2734,2734.0
saint-michel-de-maurienne,1,2731,2731.0
maignelay-montigny,1,2731,2731.0
saint-nazaire,12,2728,227.0
avelin,1,2724,2724.0
granges-aumontzey,1,2724,2724.0
saint-geours-de-maremne,2,2721,1360.0
stenay,1,2721,2721.0
chatte,2,2721,1360.0
amancy,1,2719,2719.0
donzenac,1,2715,2715.0
rosselange,1,2711,2711.0
saint-gervais,1,2706,2706.0
marigny-le-lozon,1,2703,2703.0
chef-boutonne,1,2695,2695.0
percy-en-normandie,1,2688,2688.0
breuil-le-sec,2,2686,1343.0
lusignan,1,2686,2686.0
saint-molf,1,2679,2679.0
richebourg,1,2678,2678.0
dorlisheim,3,2678,893.0
montmoreau,2,2677,1338.0
eymet,1,2674,2674.0
saulxures-sur-moselotte,2,2674,1337.0
dommartin,2,2674,1337.0
toulenne,1,2668,2668.0
hilsenheim,3,2661,887.0
vervins,2,2660,1330.0
charly-sur-marne,1,2659,2659.0
val-revermont,1,2654,2654.0
andilly,1,2645,2645.0
caulnes,1,2640,2640.0
saint-branchs,1,2638,2638.0
arques-la-bataille,1,2636,2636.0
gamaches,1,2634,2634.0
damigny,1,2633,2633.0
neufchef,1,2633,2633.0
les salles-du-gardon,1,2626,2626.0
arelaune-en-seine,1,2622,2622.0
bazeilles,1,2612,2612.0
fruges,1,2611,2611.0
vibraye,2,2609,1304.0
le cheylas,1,2608,2608.0
cers,1,2607,2607.0
taluyers,1,2601,2601.0
saint-christophe-du-ligneron,1,2596,2596.0
labastidette,1,2596,2596.0
la fresnais,1,2594,2594.0
les auxons,2,2589,1294.0
chadrac,1,2586,2586.0
alixan,1,2584,2584.0
sainte-foy-la-grande,2,2584,1292.0
anizy-le-grand,1,2584,2584.0
morbecque,1,2581,2581.0
val-de-scie,1,2579,2579.0
saint-martin-de-fontenay,1,2579,2579.0
polliat,2,2572,1286.0
urcuit,1,2554,2554.0
saint-viaud,1,2552,2552.0
naves,1,2550,2550.0
vieux-berquin,1,2547,2547.0
port-sainte-foy-et-ponchapt,1,2544,2544.0
kilstett,1,2542,2542.0
hermes,1,2539,2539.0
saint-savinien,1,2539,2539.0
ennezat,1,2536,2536.0
ploumilliau,1,2534,2534.0
cheny,1,2534,2534.0
la jarne,1,2532,2532.0
souchez,2,2531,1266.0
rantigny,2,2528,1264.0
lamalou-les-bains,1,2528,2528.0
le chambon-sur-lignon,2,2527,1264.0
ventiseri,1,2527,2527.0
miremont,1,2526,2526.0
capinghem,2,2524,1262.0
puymoyen,1,2522,2522.0
boulange,1,2519,2519.0
courtisols,2,2519,1260.0
saulieu,1,2518,2518.0
pouilly-sous-charlieu,2,2516,1258.0
saint-cyprien,2,2515,1258.0
saint-jean-d'elle,1,2514,2514.0
ouveillan,2,2513,1256.0
illfurth,1,2513,2513.0
lay-saint-christophe,1,2509,2509.0
