Ville,Nombre de Salons,Population,Habitants par Salon
ermont,1,29348,29348.0
le plessis-robinson,1,29249,29249.0
thiais,2,29247,14624.0
soissons,4,29176,7294.0
carpentras,4,29144,7286.0
guyancourt,2,29065,14532.0
bourgoin-jallieu,6,29024,4837.0
agde,6,29023,4837.0
grigny,3,28862,9621.0
lambersart,1,28051,28051.0
fresnes,2,27905,13952.0
villiers-le-bel,1,27808,27808.0
saumur,4,27701,6925.0
tournefeuille,3,27529,9176.0
illkirch-graffenstaden,1,27446,27446.0
le gosier,1,27096,27096.0
orvault,4,27082,6770.0
cavaillon,4,27075,6769.0
sannois,1,27020,27020.0
montfermeil,1,26889,26889.0
vallauris,1,26834,26834.0
aurillac,3,26828,8943.0
miramas,1,26827,26827.0
saintes,1,26813,26813.0
sucy-en-brie,2,26709,13354.0
taverny,1,26630,26630.0
oullins,1,26565,26565.0
sens,3,26519,8840.0
lunel,3,26499,8833.0
vierzon,3,26441,8814.0
la teste-de-buch,3,26438,8813.0
villeparisis,1,26429,26429.0
biarritz,2,26108,13054.0
le grand-quevilly,2,25945,12972.0
kourou,1,25913,25913.0
rodez,4,25905,6476.0
laon,4,25549,6387.0
muret,2,25488,12744.0
eaubonne,1,25430,25430.0
libourne,2,25400,12700.0
les ulis,1,25361,25361.0
champs-sur-marne,1,25195,25195.0
cenon,2,24975,12488.0
rochefort,8,24845,3106.0
dole,4,24606,6152.0
saint-dizier,2,24570,12285.0
vernon,1,24530,24530.0
vichy,3,24523,8174.0
cormeilles-en-parisis,1,24354,24354.0
la valette-du-var,7,24131,3447.0
le bouscat,1,24090,24090.0
les pavillons-sous-bois,3,24060,8020.0
sainte-anne,1,23951,23951.0
sainte-suzanne,2,23704,11852.0
abbeville,3,23358,7786.0
lanester,1,23219,23219.0
chaumont,3,23172,7724.0
auch,1,23067,23067.0
manosque,5,22992,4598.0
frontignan,1,22946,22946.0
oyonnax,5,22943,4589.0
millau,7,22844,3263.0
fontaine,3,22790,7597.0
mandelieu-la-napoule,5,22715,4543.0
tassin-la-demi-lune,2,22691,11346.0
combs-la-ville,1,22556,22556.0
loos,1,22488,22488.0
olivet,2,22474,11237.0
le moule,2,22389,11194.0
le petit-quevilly,2,22260,11130.0
hazebrouck,2,21999,11000.0
gif-sur-yvette,4,21994,5498.0
le creusot,2,21935,10968.0
forbach,6,21858,3643.0
beaune,6,21747,3624.0
montmorency,1,21732,21732.0
saint-genis-laval,1,21695,21695.0
gujan-mestras,3,21602,7201.0
lagny-sur-marne,1,21601,21601.0
dax,3,21512,7171.0
saint-louis,7,21457,3065.0
coudekerque-branche,1,21428,21428.0
longjumeau,2,21390,10695.0
saint-jean-de-braye,3,21349,7116.0
les pennes-mirabeau,4,21321,5330.0
challans,2,21318,10659.0
croix,1,21317,21317.0
fleury-les-aubrais,1,21305,21305.0
neuilly-plaisance,3,21268,7089.0
sarreguemines,1,21232,21232.0
gardanne,1,21143,21143.0
morsang-sur-orge,1,21083,21083.0
lisieux,7,20986,2998.0
halluin,3,20927,6976.0
saint-gratien,1,20859,20859.0
lannion,2,20852,10426.0
chaville,2,20845,10422.0
castelnau-le-lez,3,20810,6937.0
cahors,8,20808,2601.0
pertuis,2,20730,10365.0
wasquehal,1,20705,20705.0
voiron,2,20603,10302.0
mantes-la-ville,1,20592,20592.0
bressuire,3,20533,6844.0
montereau-fault-yonne,1,20400,20400.0
nogent-sur-oise,2,20395,10198.0
chilly-mazarin,2,20320,10160.0
carquefou,2,20238,10119.0
moulins,2,20227,10114.0
givors,2,20089,10044.0
la chapelle-sur-erdre,1,20044,20044.0
riom,2,19999,10000.0
le puy-en-velay,4,19944,4986.0
denain,4,19921,4980.0
mougins,2,19865,9932.0
bouguenais,2,19609,9804.0
chevilly-larue,2,19578,9789.0
albertville,4,19453,4863.0
ronchin,1,19349,19349.0
joinville-le-pont,2,19282,9641.0
cognac,3,19275,6425.0
louviers,5,19069,3814.0
royan,2,18949,9474.0
sorgues,2,18924,9462.0
saint-fons,1,18859,18859.0
montceau-les-mines,2,18789,9394.0
hem,5,18783,3757.0
vence,2,18769,9384.0
bruz,1,18734,18734.0
mauges-sur-loire,4,18730,4682.0
la crau,1,18706,18706.0
maurepas,1,18543,18543.0
ploemeur,2,18536,9268.0
lingolsheim,1,18496,18496.0
verdun,3,18449,6150.0
capesterre-belle-eau,2,18417,9208.0
soisy-sous-montmorency,1,18341,18341.0
garches,1,18284,18284.0
marmande,3,18280,6093.0
romorantin-lanthenay,2,18246,9123.0
cugnaux,1,18197,18197.0
brie-comte-robert,1,18133,18133.0
pontarlier,4,18033,4508.0
lons-le-saunier,1,18023,18023.0
faches-thumesnil,1,17955,17955.0
moissy-cramayel,1,17839,17839.0
avion,1,17762,17762.0
le pontet,4,17685,4421.0
ducos,1,17657,17657.0
brignoles,1,17532,17532.0
cluses,4,17454,4364.0
firminy,5,17389,3478.0
digne-les-bains,4,17329,4332.0
carvin,4,17235,4309.0
cestas,1,17181,17181.0
osny,1,17135,17135.0
mauguio,2,17099,8550.0
annonay,1,16956,16956.0
limay,1,16932,16932.0
saint-maximin-la-sainte-baume,3,16888,5629.0
hendaye,1,16881,16881.0
sanary-sur-mer,1,16843,16843.0
bry-sur-marne,1,16805,16805.0
juvisy-sur-orge,1,16795,16795.0
yutz,1,16791,16791.0
orsay,2,16753,8376.0
sallanches,1,16603,16603.0
saint-joseph,5,16460,3292.0
les herbiers,3,16421,5474.0
blanquefort,2,16418,8209.0
landerneau,1,16398,16398.0
elbeuf,2,16308,8154.0
loire-authion,1,16294,16294.0
jouy-le-moutier,1,16157,16157.0
pamiers,2,16145,8072.0
toul,3,16113,5371.0
sainte-marie,1,16082,16082.0
pointe-à-pitre,2,16048,8024.0
hennebont,3,16041,5347.0
saint-amand-les-eaux,4,16041,4010.0
verneuil-sur-seine,1,15982,15982.0
hayange,1,15972,15972.0
saint-avold,2,15860,7930.0
sin-le-noble,1,15799,15799.0
rumilly,3,15741,5247.0
vesoul,2,15728,7864.0
domont,1,15718,15718.0
fos-sur-mer,2,15654,7827.0
gaillac,3,15621,5207.0
bar-le-duc,5,15585,3117.0
pontivy,1,15544,15544.0
tulle,5,15464,3093.0
villeneuve-loubet,2,15425,7712.0
pornic,2,15407,7704.0
saint-just-saint-rambert,2,15353,7676.0
noisiel,1,15333,15333.0
fontainebleau,1,15323,15323.0
rive-de-gier,3,15299,5100.0
montesson,1,15289,15289.0
issoire,3,15226,5075.0
montargis,2,15212,7606.0
flers,6,15093,2516.0
coulommiers,2,15076,7538.0
bailleul,1,15039,15039.0
morlaix,4,15028,3757.0
tarascon,2,14953,7476.0
bouc-bel-air,2,14946,7473.0
senlis,1,14878,14878.0
illzach,1,14862,14862.0
guipavas,1,14857,14857.0
romilly-sur-seine,7,14756,2108.0
wattignies,1,14743,14743.0
dinan,1,14741,14741.0
caudry,2,14739,7370.0
ramonville-saint-agne,2,14725,7362.0
hautmont,2,14675,7338.0
laxou,1,14658,14658.0
mennecy,1,14651,14651.0
biscarrosse,1,14561,14561.0
berck,3,14519,4840.0
saint-julien-en-genevois,1,14476,14476.0
francheville,1,14464,14464.0
roquebrune-sur-argens,4,14459,3615.0
pont-à-mousson,1,14446,14446.0
wittenheim,4,14430,3608.0
woippy,3,14353,4784.0
thouars,2,14341,7170.0
castelsarrasin,1,14267,14267.0
douarnenez,1,14265,14265.0
argentan,1,14208,14208.0
sainte-maxime,2,14183,7092.0
bois-guillaume,2,14171,7086.0
rixheim,1,14114,14114.0
saint-brevin-les-pins,3,14104,4701.0
fameck,1,14056,14056.0
auray,1,14016,14016.0
ollioules,2,13972,6986.0
valbonne,1,13850,13850.0
noyon,3,13831,4610.0
morangis,2,13802,6901.0
pierrelatte,2,13752,6876.0
saint-gilles,2,13711,6856.0
plougastel-daoulas,1,13698,13698.0
lourdes,1,13692,13692.0
mions,1,13661,13661.0
saint-martin-de-crau,2,13656,6828.0
tergnier,2,13642,6821.0
fontenay-le-fleury,1,13622,13622.0
outreau,2,13596,6798.0
amilly,1,13577,13577.0
audincourt,2,13569,6784.0
mayenne,1,13551,13551.0
roncq,1,13501,13501.0
bayeux,1,13491,13491.0
vaires-sur-marne,1,13467,13467.0
montataire,1,13419,13419.0
anzin,2,13400,6700.0
moissac,2,13378,6689.0
lieusaint,1,13366,13366.0
creutzwald,3,13330,4443.0
val-de-reuil,3,13327,4442.0
nemours,3,13215,4405.0
cusset,1,13142,13142.0
monteux,3,13131,4377.0
