Ville,Habitants par Salon
bully-les-mines,4078.0
saint-claude,3192.0
saint-claude,3541.0
langres,2715.0
dax,7171.0
montreuil,171.0
montreuil,715.0
montreuil,274.0
montreuil,36825.0
cotignac,734.0
woippy,4784.0
saint-martin-la-plaine,1276.0
barentin,4011.0
valence,67.0
valence,21676.0
valence,1792.0
hennebont,5347.0
carcassonne,15788.0
saint-romain-de-jalionas,1110.0
epagny metz-tessy,2671.0
rive-de-gier,5100.0
le lamentin,13490.0
la tessoualle,1090.0
dourges,1977.0
meaux,18487.0
bollwiller,1361.0
chasseneuil-sur-bonnieure,1105.0
creutzwald,4443.0
luxeuil-les-bains,2336.0
toulouges,2333.0
saint-flour,2316.0
saint-flour,96.0
gujan-mestras,7201.0
erdre-en-anjou,1943.0
brives-charensac,1440.0
saint-sever,1684.0
bressuire,6844.0
civray,311.0
civray,929.0
hilsenheim,887.0
charlieu,1257.0
schiltigheim,10690.0
guer,2159.0
aurillac,8943.0
les abymes,18016.0
la teste-de-buch,8813.0
les andelys,2733.0
val-de-reuil,4442.0
villefranche-de-lauragais,1527.0
saint-maximin-la-sainte-baume,5629.0
vitry-sur-seine,31353.0
lure,2803.0
saint-malo,15787.0
chabeuil,2351.0
vichy,8174.0
la chapelle-thouarault,1102.0
montauban-de-bretagne,3041.0
tergnier,6821.0
moirans,4007.0
douchy-les-mines,5299.0
harfleur,4257.0
chaville,10422.0
vaulx-en-velin,24964.0
meulan-en-yvelines,4532.0
la ville-aux-dames,2781.0
saint-pierre-en-faucigny,3352.0
tosse,1500.0
pierrelatte,6876.0
audincourt,6784.0
falaise,170.0
falaise,4246.0
mouans-sartoux,5010.0
cappelle-la-grande,3986.0
vincennes,25134.0
saint-yrieix-la-perche,3600.0
ardentes,1972.0
modane,1618.0
les touches,1252.0
bessancourt,3686.0
louhans,3284.0
faulquemont,2697.0
villemoisson-sur-orge,3542.0
riom,10000.0
saint-priest,625.0
saint-priest,83.0
saint-priest,23248.0
jaunay-marigny,3883.0
aubergenville,5940.0
noisy-le-sec,22137.0
courville-sur-eure,1456.0
perriers-sur-andelle,914.0
meyzieu,16862.0
noisy-le-grand,34258.0
le porge,1616.0
chilly,74.0
chilly,702.0
chilly,94.0
beaumont-de-lomagne,1966.0
fos-sur-mer,7827.0
longjumeau,10695.0
peaugres,1098.0
combloux,1110.0
mormant,2428.0
rue,1602.0
mios,5039.0
givors,10044.0
saint-avold,7930.0
montdidier,40.0
montdidier,3180.0
malemort,4076.0
colombes,42888.0
biot,5042.0
montlieu-la-garde,637.0
muret,12744.0
bourg-achard,1998.0
auchel,5172.0
bouguenais,9804.0
vidauban,6006.0
nanteuil-le-haudouin,2167.0
yquelon,566.0
maule,3038.0
capesterre-belle-eau,9208.0
chatou,15377.0
messery,1090.0
chevannes,82.0
chevannes,166.0
chevannes,1120.0
chevannes,824.0
port-la-nouvelle,2818.0
scionzier,4397.0
le relecq-kerhuon,5852.0
le petit-quevilly,11130.0
pornic,7704.0
chazelles-sur-lyon,2727.0
saujon,3640.0
saint-jean-le-blanc,4462.0
aubusson,1776.0
aubusson,226.0
chevilly-larue,9789.0
wambrechies,5518.0
pertuis,10365.0
wassy,1516.0
anse,3666.0
villeneuve-tolosane,4919.0
aime-la-plagne,2277.0
angoulins,2020.0
ailly-sur-somme,1496.0
langeais,2359.0
saint-usage,39.0
saint-usage,685.0
pulnoy,2510.0
le creusot,10968.0
druelle balsac,1617.0
cluny,2549.0
soustons,4034.0
aubagne,23310.0
saint-valery-en-caux,2084.0
plougonvelin,2136.0
cazilhac,850.0
cazilhac,778.0
blanquefort,30.0
blanquefort,8209.0
anneyron,2046.0
breteuil,2272.0
breteuil,2227.0
frignicourt,957.0
la queue-en-brie,6030.0
troissereux,632.0
soppe-le-bas,388.0
joinville-le-pont,9641.0
saint-dizier,12285.0
passy,33.0
passy,5660.0
passy,176.0
lombez,1085.0
commentry,3214.0
saint-bonnet-sur-gironde,420.0
laneuveville-devant-nancy,3326.0
nieppe,3780.0
le chambon-sur-lignon,1264.0
auberchicourt,2240.0
aulnat,2042.0
la boisse,1634.0
les trois-bassins,3617.0
magny-en-vexin,2858.0
lagnieu,3644.0
belleville,729.0
sainte-foy-la-grande,1292.0
moliets-et-maa,593.0
sainte-savine,5506.0
saint-cast-le-guildo,1696.0
luzarches,2310.0
mertzwiller,1698.0
saint-jory,2928.0
les auxons,1294.0
beaucourt,2535.0
lansargues,1578.0
yssingeaux,3834.0
tartas,1652.0
olivet,11237.0
olivet,214.0
orval,929.0
valencin,1424.0
saint-geours-de-maremne,1360.0
vibraye,1304.0
sisteron,3848.0
palaiseau,17940.0
guilers,4068.0
saint-michel,1738.0
saint-michel,38.0
saint-michel,1633.0
saint-michel,162.0
saint-michel,134.0
saint-michel,24.0
saint-michel,62.0
saint-michel,149.0
saint-michel,129.0
cayeux-sur-mer,1254.0
guebwiller,5707.0
blendecques,2568.0
crosne,4644.0
bolbec,5776.0
saint-vallier,68.0
saint-vallier,2034.0
saint-vallier,4416.0
saint-vallier,50.0
niedernai,646.0
pessac,32257.0
saint-max,5038.0
courtisols,1260.0
nouvion-sur-meuse,1143.0
rantigny,1264.0
villeneuve-la-guyard,1756.0
maretz,736.0
champlitte,836.0
saint-germain-laval,832.0
saint-germain-laval,1432.0
biarritz,13054.0
saint-germain,364.0
saint-germain,1177.0
saint-germain,82.0
saint-germain,684.0
saint-germain,476.0
nangis,4396.0
ramonville-saint-agne,7362.0
campbon,2034.0
montceau-les-mines,9394.0
saint-marcel-sur-aude,1016.0
saint-jean-en-royans,1468.0
saint-memmie,2794.0
capinghem,1262.0
chatte,1360.0
saint-nolff,1950.0
thiais,14624.0
