Ville,Nombre de Salons,Population
la plaine-des-palmistes,3,6659
bully-les-mines,3,12234
saint-claude,3,9577
saint-claude,3,10623
langres,3,8146
dax,3,21512
montreuil,3,513
montreuil,3,2144
montreuil,3,823
montreuil,3,110474
cotignac,3,2203
woippy,3,14353
saint-martin-la-plaine,3,3829
barentin,3,12034
valence,3,201
valence,3,65028
valence,3,5377
hennebont,3,16041
carcassonne,3,47365
saint-romain-de-jalionas,3,3329
epagny metz-tessy,3,8013
rive-de-gier,3,15299
le lamentin,3,40471
la tessoualle,3,3269
dourges,3,5931
meaux,3,55461
bollwiller,3,4082
chasseneuil-sur-bonnieure,3,3315
creutzwald,3,13330
luxeuil-les-bains,3,7008
toulouges,3,7000
saint-flour,3,6947
saint-flour,3,288
gujan-mestras,3,21602
erdre-en-anjou,3,5829
brives-charensac,3,4320
saint-sever,3,5053
bressuire,3,20533
civray,3,934
civray,3,2788
hilsenheim,3,2661
charlieu,3,3772
schiltigheim,3,32070
guer,3,6477
aurillac,3,26828
les abymes,3,54049
la teste-de-buch,3,26438
les andelys,3,8199
val-de-reuil,3,13327
villefranche-de-lauragais,3,4580
saint-maximin-la-sainte-baume,3,16888
vitry-sur-seine,3,94059
lure,3,8409
saint-malo,3,47362
chabeuil,3,7053
vichy,3,24523
la chapelle-thouarault,2,2203
montauban-de-bretagne,2,6082
tergnier,2,13642
moirans,2,8014
douchy-les-mines,2,10598
harfleur,2,8514
chaville,2,20845
vaulx-en-velin,2,49928
meulan-en-yvelines,2,9065
la ville-aux-dames,2,5562
saint-pierre-en-faucigny,2,6704
tosse,2,3001
pierrelatte,2,13752
audincourt,2,13569
falaise,2,339
falaise,2,8491
mouans-sartoux,2,10019
cappelle-la-grande,2,7973
vincennes,2,50267
saint-yrieix-la-perche,2,7199
ardentes,2,3945
modane,2,3235
les touches,2,2505
bessancourt,2,7373
louhans,2,6569
faulquemont,2,5394
villemoisson-sur-orge,2,7084
riom,2,19999
saint-priest,2,1250
saint-priest,2,166
saint-priest,2,46497
jaunay-marigny,2,7766
aubergenville,2,11881
noisy-le-sec,2,44274
courville-sur-eure,2,2911
perriers-sur-andelle,2,1828
meyzieu,2,33725
noisy-le-grand,2,68515
le porge,2,3232
chilly,2,148
chilly,2,1403
chilly,2,188
beaumont-de-lomagne,2,3933
fos-sur-mer,2,15654
longjumeau,2,21390
peaugres,2,2196
combloux,2,2219
mormant,2,4856
rue,2,3204
mios,2,10078
givors,2,20089
saint-avold,2,15860
montdidier,2,80
montdidier,2,6359
malemort,2,8151
colombes,2,85775
biot,2,10084
montlieu-la-garde,2,1274
muret,2,25488
bourg-achard,2,3996
auchel,2,10344
bouguenais,2,19609
vidauban,2,12011
nanteuil-le-haudouin,2,4334
yquelon,2,1133
maule,2,6075
capesterre-belle-eau,2,18417
chatou,2,30754
messery,2,2181
chevannes,2,164
chevannes,2,333
chevannes,2,2240
chevannes,2,1649
port-la-nouvelle,2,5636
scionzier,2,8794
le relecq-kerhuon,2,11705
le petit-quevilly,2,22260
pornic,2,15407
chazelles-sur-lyon,2,5454
saujon,2,7279
saint-jean-le-blanc,2,8924
aubusson,2,3551
aubusson,2,451
chevilly-larue,2,19578
wambrechies,2,11036
pertuis,2,20730
wassy,2,3031
anse,2,7332
villeneuve-tolosane,2,9838
aime-la-plagne,2,4554
angoulins,2,4039
ailly-sur-somme,2,2993
langeais,2,4718
saint-usage,2,78
saint-usage,2,1370
pulnoy,2,5021
le creusot,2,21935
druelle balsac,2,3234
cluny,2,5098
soustons,2,8068
aubagne,2,46621
saint-valery-en-caux,2,4167
plougonvelin,2,4273
cazilhac,2,1700
cazilhac,2,1557
blanquefort,2,59
blanquefort,2,16418
anneyron,2,4091
breteuil,2,4544
breteuil,2,4454
frignicourt,2,1914
la queue-en-brie,2,12061
troissereux,2,1265
soppe-le-bas,2,775
joinville-le-pont,2,19282
saint-dizier,2,24570
passy,2,66
passy,2,11319
passy,2,352
lombez,2,2170
commentry,2,6427
saint-bonnet-sur-gironde,2,839
laneuveville-devant-nancy,2,6651
nieppe,2,7559
le chambon-sur-lignon,2,2527
auberchicourt,2,4480
aulnat,2,4085
la boisse,2,3267
les trois-bassins,2,7234
magny-en-vexin,2,5715
lagnieu,2,7289
belleville,2,1458
sainte-foy-la-grande,2,2584
moliets-et-maa,2,1186
sainte-savine,2,11011
saint-cast-le-guildo,2,3392
luzarches,2,4620
mertzwiller,2,3395
saint-jory,2,5857
les auxons,2,2589
beaucourt,2,5070
lansargues,2,3155
yssingeaux,2,7667
tartas,2,3304
olivet,2,22474
olivet,2,427
orval,2,1858
valencin,2,2847
saint-geours-de-maremne,2,2721
vibraye,2,2609
sisteron,2,7697
palaiseau,2,35881
guilers,2,8136
saint-michel,2,3475
saint-michel,2,76
saint-michel,2,3266
saint-michel,2,324
saint-michel,2,269
saint-michel,2,49
saint-michel,2,123
saint-michel,2,298
saint-michel,2,258
cayeux-sur-mer,2,2509
guebwiller,2,11414
blendecques,2,5135
crosne,2,9289
bolbec,2,11553
saint-vallier,2,137
saint-vallier,2,4067
saint-vallier,2,8831
saint-vallier,2,99
niedernai,2,1292
pessac,2,64514
saint-max,2,10075
courtisols,2,2519
nouvion-sur-meuse,2,2286
rantigny,2,2528
villeneuve-la-guyard,2,3513
maretz,2,1473
champlitte,2,1673
saint-germain-laval,2,1665
saint-germain-laval,2,2863
biarritz,2,26108
saint-germain,2,727
saint-germain,2,2354
saint-germain,2,164
saint-germain,2,1369
saint-germain,2,953
nangis,2,8793
ramonville-saint-agne,2,14725
campbon,2,4067
montceau-les-mines,2,18789
saint-marcel-sur-aude,2,2033
saint-jean-en-royans,2,2935
saint-memmie,2,5589
capinghem,2,2524
chatte,2,2721
saint-nolff,2,3899
thiais,2,29247
digoin,2,8060
anor,2,3267
morangis,2,396
morangis,2,13802
la roche-sur-foron,2,11683
mouchard,2,1418
torigny-les-villes,2,4408
saulxures-sur-moselotte,2,2674
vacqueyras,2,1338
montberon,2,2987
outreau,2,13596
mazamet,2,10463
divatte-sur-loire,2,6943
jussac,2,2091
thiers,2,12169
prayssac,2,2471
fleury-sur-andelle,2,1864
mauguio,2,17099
ville,2,778
le moule,2,22389
longuyon,2,5381
coulommiers,2,15076
matignon,2,1685
